https://i.ibb.co/5MK2H4k/tertle.jpg,animal,turtle
https://i.ibb.co/3kYLxtL/tiger.jpg,animal,tiger
https://i.ibb.co/r5X4nq5/parakeet.jpg,animal,parakeet
https://i.ibb.co/w60Jjsd/hamster.jpg,animal,hamster
https://i.ibb.co/3dFtjfF/hawk.jpg,animal,hawk
https://i.ibb.co/HHGjdZC/fox.jpg,animal,fox
https://i.ibb.co/MP0RCL1/flamingo.jpg,animal,flamingo
https://i.ibb.co/vd3LKLZ/elephant.jpg,animal,elephant
https://i.ibb.co/jMnfryt/deer.jpg,animal,deer
https://i.ibb.co/7Q7jKyZ/animal.jpg,animal,
https://i.ibb.co/G5V5vnz/batterfly.jpg,animal,batterfly
